,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore,TOPSIS Score,Rank
facebook/bart-large-cnn,0.2962962914677641,0.11363635894886383,0.2962962914677641,10.177931989613292,0.8669783473014832,1.0,1.0
Falconsai/text_summarization,0.17204300617412432,0.05263157483379533,0.17204300617412432,2.5590159040508706,0.8543596863746643,0.38749634930662635,3.0
google/pegasus-cnn_dailymail,0.2650602361736102,0.04395603933341433,0.2650602361736102,1.7957724895512897,0.8464623689651489,0.5701018467921095,2.0
csebuetnlp/mT5_multilingual_XLSum,0.11111110635802489,0.0,0.07407406932098796,1.213066252571753,0.847541332244873,0.011113802029901854,4.0
